Generation,Simulation,m,Cb,facAs,facSk,lsgrad,bedfric,wetslp,vegDensity,RMSE,Dune RMSE,Beach RMSE,BSS,Dune BSS,Beach BSS,BSS Label,Dune BSS Label,Beach BSS Label,Folder,Profile,Long
3,3,1.9827,0.6749,0.6101,0.4124,0.0585,0.1471,0.768,1.2066,0.7607,1.1819,0.6282,-4.2679,-121.7243,-1.9891,Very Poor,Very Poor,Very Poor,run04132021050515_378594,15,False
3,4,2.0375,1.8724,0.5968,0.3853,0.0463,0.179,0.7236,0.9218,0.6988,0.2654,0.7631,-3.4447,-5.1874,-3.4109,Very Poor,Very Poor,Very Poor,run04132021050515_381438,15,False
3,5,1.9186,0.6644,0.5937,0.4027,0.0572,0.1431,0.7671,1.4268,0.7666,1.2014,0.6286,-4.3494,-125.8147,-1.9929,Very Poor,Very Poor,Very Poor,run04132021050515_391901,15,False
3,6,1.9197,0.6295,0.6162,0.4143,0.0529,0.0774,0.6838,0.8466,0.3992,0.0828,0.44,-0.4504,0.3983,-0.4668,Very Poor,Fair,Very Poor,run04132021050515_486518,15,False
3,7,2.0727,0.4453,0.5773,0.3824,0.0617,0.1497,0.6347,1.2054,0.6625,1.0279,0.5477,-2.9957,-91.8325,-1.2721,Very Poor,Very Poor,Very Poor,run04132021050515_500762,15,False
3,8,1.9261,0.9756,0.5842,0.3901,0.0454,0.0401,0.6763,1.4605,0.8136,1.2395,0.682,-5.0252,-133.9684,-2.5236,Very Poor,Very Poor,Very Poor,run04132021050515_504559,15,False
3,9,2.1218,0.6391,0.5987,0.416,0.0473,0.1275,0.7058,0.9611,0.4005,0.0819,0.4416,-0.4602,0.4114,-0.4771,Very Poor,Fair,Very Poor,run04132021050515_622822,15,False
3,10,1.8414,0.9696,0.5784,0.391,0.0464,0.0383,0.7082,1.4383,0.8253,1.2738,0.685,-5.2002,-141.5428,-2.555,Very Poor,Very Poor,Very Poor,run04132021050515_66606,15,False
3,11,1.8163,0.4517,0.5754,0.3844,0.043,0.1433,0.6986,1.1828,0.6895,1.0903,0.5611,-3.3273,-103.4374,-1.3851,Very Poor,Very Poor,Very Poor,run04132021050515_716674,15,False
3,12,2.0378,0.2278,0.6319,0.3668,0.0433,0.2226,0.6484,1.2555,0.4646,0.8109,0.3412,-0.9647,-56.772,0.118,Very Poor,Very Poor,Poor,run04132021050515_809861,15,False
3,13,1.8654,0.9891,0.5329,0.3694,0.0542,0.18,0.6712,1.3506,0.7876,1.1781,0.6691,-4.6475,-120.9329,-2.3915,Very Poor,Very Poor,Very Poor,run04132021050515_821136,15,False
3,14,2.1553,0.2402,0.6245,0.421,0.0491,0.0714,0.7415,1.195,0.4681,0.8058,0.3497,-0.9945,-56.0413,0.0734,Very Poor,Very Poor,Poor,run04132021050515_874036,15,False
3,15,1.8546,1.2339,0.633,0.4314,0.0558,0.1999,0.7317,1.4462,0.812,1.2008,0.6952,-5.0026,-125.6684,-2.6616,Very Poor,Very Poor,Very Poor,run04132021050515_896472,15,False
3,16,1.9412,0.9161,0.6336,0.3695,0.0538,0.1237,0.781,1.337,0.7911,1.2048,0.6634,-4.6977,-126.5206,-2.3342,Very Poor,Very Poor,Very Poor,run04132021050515_943340,15,False
